fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240513 063246	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.442143405063056	0.561731282877761	250	904	11462	49234629.6851574	93
20240513 064402	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	385	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.386064522176455	0.507453587393357	800	1681	11350	59507361.3193403	94
20240513 070651	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1421	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200028666653242	0.649017098871312	1521	453	12413	63605137.9310345	95
20240513 072500	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1016	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200040829202525	0.651142695852195	1504	446	9497	63084832.083958	96
20240513 072759	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	40	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.359878918101549	0.891829659307042	2047	188	12259	54009266.8665667	97
20240513 073339	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	462	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.3355098601048	0.536832251109813	1349	1150	12944	59170218.8905547	98
20240513 075239	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1122	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200009817571047	0.642859483023046	1461	453	13447	62873272.8635682	99
20240513 075938	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	594	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.111076117643861	0.578473576604599	1246	1820	11119	62703989.5052474	100
20240513 081214	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1426	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0338117410073155	0.564326287125672	1903	1993	12559	62724499.2503748	101
20240513 083432	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1409	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200806957178049	0.642983875152249	1462	423	14129	63965203.898051	102
